Timestamp,Q1 CLASSIFICATION
3/6/2020 11:35:06,N
3/6/2020 11:50:32,N
3/6/2020 12:04:00,N
3/6/2020 12:20:10,Y
3/6/2020 12:23:33,Y
3/6/2020 12:50:26,N
3/6/2020 13:08:57,N
3/6/2020 13:10:00,Y
3/6/2020 13:16:59,Y
3/6/2020 13:30:30,Y
3/6/2020 13:42:45,Y
3/6/2020 13:42:48,Y
3/6/2020 13:53:26,N
3/6/2020 13:56:14,N
3/6/2020 13:56:24,Y
3/6/2020 14:02:26,Y
3/6/2020 14:29:21,Y
3/6/2020 14:46:39,Y
3/6/2020 15:38:36,Y
3/6/2020 16:06:01,N
3/6/2020 16:23:35,Y
3/6/2020 17:32:30,N
3/6/2020 17:57:56,Y
3/6/2020 18:38:16,Y
3/6/2020 19:28:13,Y
3/6/2020 20:01:38,N
3/6/2020 20:02:01,Y
3/6/2020 22:32:27,Y
3/6/2020 23:03:29,Y
3/6/2020 23:07:26,N
3/7/2020 0:07:19,N
3/7/2020 7:12:30,Y
3/7/2020 7:25:25,N
3/7/2020 13:04:53,Y
3/7/2020 14:43:08,Y
3/7/2020 19:09:22,N
3/8/2020 9:28:21,Y
3/8/2020 17:29:06,N
3/8/2020 19:00:16,Y
3/9/2020 5:33:36,N
3/9/2020 5:38:48,Y
3/9/2020 7:33:57,Y
3/9/2020 9:24:17,Y
3/9/2020 19:45:23,Y
3/10/2020 10:09:35,Y
3/10/2020 10:09:53,Y
3/10/2020 10:13:59,N
3/10/2020 10:17:59,N
3/10/2020 10:21:57,N
3/10/2020 10:25:14,N
3/10/2020 10:25:35,Y
3/10/2020 10:40:06,Y
3/10/2020 10:51:07,N
3/10/2020 10:55:15,N
3/10/2020 10:56:39,Y
3/10/2020 11:00:48,N
3/10/2020 11:08:41,Y
3/10/2020 11:28:40,N
3/10/2020 11:30:19,Y
3/10/2020 11:35:21,Y
3/10/2020 11:39:28,Y
3/10/2020 12:09:48,Y
3/10/2020 12:10:57,Y
3/10/2020 12:52:32,Y
3/10/2020 12:55:38,N
3/10/2020 12:57:34,Y
3/10/2020 13:22:30,N
3/10/2020 14:41:29,N
3/10/2020 14:52:29,Y
3/10/2020 15:01:47,N
3/10/2020 15:02:17,Y
3/10/2020 15:32:09,Y
3/10/2020 15:51:52,N
3/10/2020 15:54:54,Y
3/10/2020 16:05:33,N
3/10/2020 16:46:52,N
3/10/2020 17:09:39,Y
3/10/2020 17:41:01,N
3/10/2020 18:12:22,Y
3/10/2020 18:19:53,N
3/10/2020 19:01:39,N
3/10/2020 20:43:59,Y
3/10/2020 21:03:29,N
3/10/2020 21:36:52,N
3/11/2020 5:34:41,Y
3/11/2020 6:10:24,N
3/11/2020 6:39:05,Y
3/11/2020 6:57:44,Y
3/11/2020 7:26:14,Y
3/11/2020 8:44:27,Y
3/11/2020 9:17:18,Y
3/11/2020 9:32:56,Y
3/11/2020 9:37:29,Y
3/11/2020 9:41:57,Y
3/11/2020 9:48:35,Y
3/11/2020 9:50:25,Y
